locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
有木國小,24.8554,121.4293,81AI20,2023-05-01T04:50:00+08:00,249.00,1.50,1.50,-998.00,-998.00,-998.00,0.00,-998.00,1.50,1.50,農委會水土保持局,新北市,06,三峽區,057
望安,23.3593,119.4918,01W010,2023-05-01T04:50:00+08:00,18.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第6河川局,澎湖縣,23,望安鄉,231
望鄉,23.6210,120.9197,01H390,2023-05-01T04:50:00+08:00,2200.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,南投縣,13,信義鄉,175
望鄉山,23.5960,120.9362,C1I450,2023-05-01T04:50:00+08:00,3025.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,信義鄉,160
木柵,22.9774,120.4589,01P190,2023-05-01T04:50:00+08:00,78.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第6河川局,高雄市,05,內門區,270
朴子,23.4364,120.2309,C0M650,2023-05-01T04:50:00+08:00,20.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,朴子市,222
杉林溪,23.6413,120.7783,C1I470,2023-05-01T04:50:00+08:00,1680.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,竹山鎮,178
東勢,24.2482,120.8249,C0F850,2023-05-01T04:50:00+08:00,379.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,東勢區,113
東原,23.2671,120.4378,01O190,2023-05-01T04:50:00+08:00,80.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,臺南市,04,東山區,236
東原,23.2931,120.4553,C1X040,2023-05-01T04:50:00+08:00,232.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,東山區,236
東吉島,23.2587,119.6594,467300,2023-05-01T04:50:00+08:00,44.50,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,澎湖縣,23,望安鄉,231
東埔,23.5636,120.9202,01H400,2023-05-01T04:50:00+08:00,1135.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,南投縣,13,信義鄉,175
東富,23.6866,121.4740,01T9L0,2023-05-01T04:50:00+08:00,110.00,0.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,2.00,35.00,水利署第9河川局,花蓮縣,21,光復鄉,194
東引,26.3605,120.4753,CAW010,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,28.50,局屬合作測站,連江縣,99,東引鄉,999
東後寮,23.3716,120.2399,C0M520,2023-05-01T04:50:00+08:00,15.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,義竹鄉,229
東沙島,20.7024,116.7220,468100,2023-05-01T04:50:00+08:00,4.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,高雄市,99,旗津區,999
東河,22.9736,121.2983,C0S810,2023-05-01T04:50:00+08:00,65.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,東河鄉,264
東河,23.2983,120.3775,C0X050,2023-05-01T04:50:00+08:00,25.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,東山區,236
東港,22.4642,120.4327,C0R640,2023-05-01T04:50:00+08:00,21.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,東港鎮,339
東港工作站,22.4818,120.4580,12Q970,2023-05-01T04:50:00+08:00,16.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,屏東縣,20,東港鎮,339
東湖國小,25.0710,121.6068,A1AA50,2023-05-01T04:50:00+08:00,34.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,內湖區,021
東澳,24.5238,121.8250,C0U760,2023-05-01T04:50:00+08:00,22.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,2.50,4.50,局屬無人測站,宜蘭縣,07,南澳鄉,093
東澳嶺,24.5393,121.8406,C1U840,2023-05-01T04:50:00+08:00,750.00,0.50,9.50,-998.00,-998.00,-998.00,0.00,-998.00,20.50,26.50,局屬無人測站,宜蘭縣,07,南澳鄉,093
東石,23.4607,120.1457,C0M710,2023-05-01T04:50:00+08:00,15.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,東石鄉,216
東興部落,23.6370,121.5228,81T870,2023-05-01T04:50:00+08:00,26.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,8.50,33.00,農委會水土保持局,花蓮縣,21,豐濱鄉,188
東莒,25.9669,119.9724,C0W110,2023-05-01T04:50:00+08:00,16.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,36.00,局屬無人測站,連江縣,99,莒光鄉,999
東華,23.8971,121.5417,C0Z100,2023-05-01T04:50:00+08:00,36.00,0.00,3.50,-998.00,-998.00,-998.00,0.00,-998.00,8.00,12.00,局屬無人測站,花蓮縣,21,壽豐鄉,161
東里,23.2703,121.2974,C0Z300,2023-05-01T04:50:00+08:00,182.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,花蓮縣,21,富里鄉,241
東里國中,23.2651,121.2950,81T910,2023-05-01T04:50:00+08:00,173.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,花蓮縣,21,富里鄉,241
松安,24.3994,120.9778,C1E461,2023-05-01T04:50:00+08:00,1325.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,泰安鄉,101
松安,24.3996,120.9778,01E080,2023-05-01T04:50:00+08:00,1308.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第3河川局,苗栗縣,11,泰安鄉,101
松山,25.0505,121.5422,C0AH70,2023-05-01T04:50:00+08:00,34.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺北市,01,松山區,031
松柏,24.4309,120.6093,C0FA10,2023-05-01T04:50:00+08:00,22.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,大甲區,105
松茂,24.2828,121.2577,81F860,2023-05-01T04:50:00+08:00,1687.00,1.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,2.50,2.50,農委會水土保持局,臺中市,02,和平區,104
松鶴,24.1807,120.9702,88F920,2023-05-01T04:50:00+08:00,655.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺中市,02,和平區,104
板橋,25.0129,121.4405,C0AJ80,2023-05-01T04:50:00+08:00,38.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,板橋區,041
枋寮,22.3695,120.5826,C0R660,2023-05-01T04:50:00+08:00,20.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,枋寮鄉,358
枋山,22.2486,120.6531,C0R700,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,枋山鄉,346
林內,23.7504,120.6015,C0K470,2023-05-01T04:50:00+08:00,97.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,林內鄉,186
林內(1),23.7570,120.6044,01J930,2023-05-01T04:50:00+08:00,82.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,雲林縣,16,林內鄉,186
林口,25.0740,121.3726,C0AH50,2023-05-01T04:50:00+08:00,275.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,林口區,016
林口(1),25.0790,121.3686,01A160,2023-05-01T04:50:00+08:00,250.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第10河川局,新北市,06,林口區,016
林園,22.5096,120.3866,C0V720,2023-05-01T04:50:00+08:00,15.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,林園區,335
林試六龜中心,22.9935,120.6376,E2P980,2023-05-01T04:50:00+08:00,272.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,高雄市,05,六龜區,259
林試扇平站,22.9695,120.6776,E2P990,2023-05-01T04:50:00+08:00,677.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,高雄市,05,茂林區,278
林試畢祿溪站,24.2287,121.3003,E2HA20,2023-05-01T04:50:00+08:00,2188.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,仁愛鄉,122
林邊,22.4652,120.5259,C0R850,2023-05-01T04:50:00+08:00,16.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,林邊鄉,340
柑林國小,25.0177,121.7962,81AH70,2023-05-01T04:50:00+08:00,93.00,0.00,3.00,-998.00,-998.00,-998.00,0.00,-998.00,6.50,8.50,農委會水土保持局,新北市,06,雙溪區,024
柳營,23.2551,120.3672,C0X320,2023-05-01T04:50:00+08:00,33.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,柳營區,238
格致國中,25.1332,121.5374,A1AA10,2023-05-01T04:50:00+08:00,394.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,士林區,007
桃園,24.9943,121.3150,C0C480,2023-05-01T04:50:00+08:00,105.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,桃園區,042
桃園農改,24.9527,121.0224,72C440,2023-05-01T04:50:00+08:00,70.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,桃園市,08,新屋區,047
桃山,24.4345,121.2956,C0F9Y0,2023-05-01T04:50:00+08:00,3313.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,和平區,104
桃改臺北分場,24.9463,121.3788,72AI40,2023-05-01T04:50:00+08:00,40.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新北市,06,樹林區,046
桃源國中,25.1362,121.4687,A1A9U0,2023-05-01T04:50:00+08:00,28.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,北投區,006
桃源谷,24.9644,121.8807,C0UA70,2023-05-01T04:50:00+08:00,547.00,0.00,8.50,-998.00,-998.00,-998.00,0.00,-998.00,15.00,24.00,局屬無人測站,宜蘭縣,07,頭城鎮,051
桐林,24.0681,120.7272,C1F9B1,2023-05-01T04:50:00+08:00,130.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,霧峰區,143
桶後,24.8501,121.5896,C0A570,2023-05-01T04:50:00+08:00,360.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.50,局屬無人測站,新北市,06,烏來區,061
桶頭,23.6442,120.6456,C1I131,2023-05-01T04:50:00+08:00,311.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,竹山鎮,178
桶頭(2),23.6464,120.6495,01H110,2023-05-01T04:50:00+08:00,231.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,南投縣,13,竹山鎮,178
梅山,23.2703,120.8154,C1V200,2023-05-01T04:50:00+08:00,870.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,桃源區,353
梅山(2),23.2673,120.8168,01V060,2023-05-01T04:50:00+08:00,850.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,高雄市,05,桃源區,353
梅峰,24.0871,121.1654,C0I480,2023-05-01T04:50:00+08:00,2165.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,南投縣,13,仁愛鄉,178
梅花,24.6794,121.2004,01D180,2023-05-01T04:50:00+08:00,560.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,新竹縣,10,尖石鄉,077
梅花,24.6801,121.2004,C0D360,2023-05-01T04:50:00+08:00,523.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,新竹縣,10,尖石鄉,077
梓官,22.7624,120.2593,C0V610,2023-05-01T04:50:00+08:00,22.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,梓官區,303
梧棲,24.2578,120.5152,C0FA30,2023-05-01T04:50:00+08:00,31.70,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,梧棲區,118
梨山,24.2450,121.2377,C0F860,2023-05-01T04:50:00+08:00,2215.00,0.50,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,局屬無人測站,臺中市,02,和平區,104
梨山圓環,24.2570,121.2373,81F850,2023-05-01T04:50:00+08:00,1948.00,1.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,2.50,2.50,農委會水土保持局,臺中市,02,和平區,104
梵梵(2),24.6149,121.5174,01U060,2023-05-01T04:50:00+08:00,295.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,6.00,水利署第1河川局,宜蘭縣,07,大同鄉,081
棋山,23.6882,120.5953,C0K560,2023-05-01T04:50:00+08:00,117.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,古坑鄉,196
楊梅,24.9141,121.1348,C0C660,2023-05-01T04:50:00+08:00,176.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,楊梅區,056
楓樹林,23.9886,121.0681,C1I330,2023-05-01T04:50:00+08:00,1266.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,仁愛鄉,122
楓港,22.1919,120.6841,C0R670,2023-05-01T04:50:00+08:00,26.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,枋山鄉,346
楠溪,23.4746,120.8998,O1I360,2023-05-01T04:50:00+08:00,2600.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,南投縣,13,信義鄉,175
楠西,23.1841,120.4766,C1O920,2023-05-01T04:50:00+08:00,115.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,楠西區,246
樂水分校,24.6021,121.5211,81U870,2023-05-01T04:50:00+08:00,322.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,1.50,農委會水土保持局,宜蘭縣,07,大同鄉,081
樟原(1),23.4056,121.4514,01S270,2023-05-01T04:50:00+08:00,115.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,22.00,水利署第8河川局,臺東縣,22,長濱鄉,227
樟林,24.4277,121.7412,01U450,2023-05-01T04:50:00+08:00,160.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,14.00,水利署第1河川局,宜蘭縣,07,南澳鄉,093
樟樹山,24.4157,121.7751,C0UA60,2023-05-01T04:50:00+08:00,566.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,2.00,5.50,局屬無人測站,宜蘭縣,07,南澳鄉,093
樟湖,23.9069,120.8392,C1I220,2023-05-01T04:50:00+08:00,1098.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,國姓鄉,139
樟腦寮(2),23.5348,120.5945,01L480,2023-05-01T04:50:00+08:00,545.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,嘉義縣,17,竹崎鄉,215
橋頭,22.7596,120.2977,C0V760,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,橋頭區,299
橫山,24.7129,121.1087,C0D540,2023-05-01T04:50:00+08:00,227.00,1.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,局屬無人測站,新竹縣,10,橫山鄉,078
橫龍山,24.4717,120.9606,01E030,2023-05-01T04:50:00+08:00,550.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,苗栗縣,11,泰安鄉,101
檳榔,22.0779,120.8288,C0R280,2023-05-01T04:50:00+08:00,242.00,3.00,3.00,-998.00,-998.00,-998.00,0.00,-998.00,3.00,3.50,局屬無人測站,屏東縣,20,滿州鄉,348
檳榔四格山,22.8118,121.1012,C0SA10,2023-05-01T04:50:00+08:00,411.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,1.00,局屬無人測站,臺東縣,22,卑南鄉,289
武塔,24.4513,121.7691,01U470,2023-05-01T04:50:00+08:00,32.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,2.00,水利署第1河川局,宜蘭縣,07,南澳鄉,093
武界,23.9147,121.0442,C1I030,2023-05-01T04:50:00+08:00,948.00,2.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,2.50,2.50,局屬無人測站,南投縣,13,仁愛鄉,122
武陵,22.9715,121.1073,01S130,2023-05-01T04:50:00+08:00,288.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,1.00,水利署第8河川局,臺東縣,22,延平鄉,280
武陵,24.3546,121.3001,A0F010,2023-05-01T04:50:00+08:00,1804.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,臺中市,02,和平區,104
歷坵,22.5228,120.8838,C0SA00,2023-05-01T04:50:00+08:00,466.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,臺東縣,22,金峰鄉,352
民權,23.2421,120.6886,O1V520,2023-05-01T04:50:00+08:00,587.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,高雄市,05,那瑪夏區,232
民生國中,25.0615,121.5585,A1A9Y0,2023-05-01T04:50:00+08:00,28.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,松山區,031
民雄,23.5535,120.4203,C0M760,2023-05-01T04:50:00+08:00,40.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,民雄鄉,213
水上,23.4215,120.3808,C0M690,2023-05-01T04:50:00+08:00,33.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,水上鄉,223
水尾,24.9419,121.0789,C1C510,2023-05-01T04:50:00+08:00,106.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,楊梅區,056
水林,23.5747,120.2378,C0K510,2023-05-01T04:50:00+08:00,10.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,水林鄉,204
水湳洞,25.1255,121.8540,C0AJ50,2023-05-01T04:50:00+08:00,30.00,0.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,7.00,7.00,局屬無人測站,新北市,06,瑞芳區,018
水源,23.9936,121.5292,C0T9B0,2023-05-01T04:50:00+08:00,558.00,1.50,7.00,0.50,0.50,0.00,0.50,0.00,12.00,38.50,局屬無人測站,花蓮縣,21,秀林鄉,108
水璉,23.7989,121.5342,C0T9F0,2023-05-01T04:50:00+08:00,251.00,0.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,3.00,87.50,局屬無人測站,花蓮縣,21,壽豐鄉,161
水試所成功,23.1014,121.3753,CM0140,2023-05-01T04:50:00+08:00,26.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,成功鎮,258
水試所海水繁,23.1226,120.0716,CAN130,2023-05-01T04:50:00+08:00,2.30,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,七股區,253
水試所知本,22.7041,121.0746,C0SA60,2023-05-01T04:50:00+08:00,11.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,臺東市,297
水里,23.8143,120.8417,C0I360,2023-05-01T04:50:00+08:00,300.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,水里鄉,168
永和,25.0130,121.4999,C0AH10,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,永和區,045
永安,22.8249,120.2288,C0V620,2023-05-01T04:50:00+08:00,18.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,永安區,293
永康,23.0401,120.2286,467420,2023-05-01T04:50:00+08:00,8.10,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,臺南市,04,永康區,268
永樂國小,24.5777,121.8360,81U910,2023-05-01T04:50:00+08:00,45.00,0.00,7.50,-998.00,-998.00,-998.00,0.00,-998.00,19.00,35.50,農委會水土保持局,宜蘭縣,07,蘇澳鎮,354
永興國小,23.7866,120.8556,81H970,2023-05-01T04:50:00+08:00,304.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,水里鄉,168
永靖,23.9265,120.5394,C0G920,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,永靖鄉,162
汐止,25.0687,121.6506,C0AH00,2023-05-01T04:50:00+08:00,38.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,2.50,2.50,局屬無人測站,新北市,06,汐止區,014
汕尾,22.4800,120.4071,C0V900,2023-05-01T04:50:00+08:00,6.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,林園區,335
池上,23.1214,121.2017,C0S740,2023-05-01T04:50:00+08:00,289.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,池上鄉,257
池端,24.6333,121.4667,21U110,2023-05-01T04:50:00+08:00,1150.00,0.00,1.50,-998.00,-998.00,-998.00,0.00,-998.00,3.50,5.00,石門水庫,宜蘭縣,07,大同鄉,081
沄水國小,23.3832,120.5225,81M690,2023-05-01T04:50:00+08:00,179.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,嘉義縣,17,中埔鄉,224
沙坑,23.5321,120.5124,01L490,2023-05-01T04:50:00+08:00,78.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,嘉義縣,17,竹崎鄉,215
沙崙,22.9373,120.3013,C1N001,2023-05-01T04:50:00+08:00,24.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,歸仁區,271
泗林,22.5474,120.5615,01R440,2023-05-01T04:50:00+08:00,28.70,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,屏東縣,20,潮州鎮,332
泰安,24.4906,120.9594,C1E721,2023-05-01T04:50:00+08:00,1409.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,苗栗縣,11,泰安鄉,101
泰岡,24.6181,121.2875,81D690,2023-05-01T04:50:00+08:00,1244.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,新竹縣,10,尖石鄉,077
泰平,24.9731,121.8153,C0A550,2023-05-01T04:50:00+08:00,422.00,0.00,7.00,-998.00,-998.00,-998.00,0.00,-998.00,13.00,19.00,局屬無人測站,新北市,06,雙溪區,024
泰武(2),22.6004,120.6772,01Q960,2023-05-01T04:50:00+08:00,841.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,屏東縣,20,泰武鄉,318
洛韶,24.2064,121.4458,C1T800,2023-05-01T04:50:00+08:00,1260.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,局屬無人測站,花蓮縣,21,秀林鄉,108
海口故事園區,23.5772,120.1331,CAJ050,2023-05-01T04:50:00+08:00,4.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,口湖鄉,201
海埔,24.6505,120.7642,C0E910,2023-05-01T04:50:00+08:00,25.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,後龍鎮,091
海天一線,24.8337,120.9062,C0D670,2023-05-01T04:50:00+08:00,23.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新竹市,15,北區,066
消防署訓,23.8231,120.7148,CAHA00,2023-05-01T04:50:00+08:00,176.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,竹山鎮,178
淡大蘭陽校園,24.8250,121.7222,C0UB00,2023-05-01T04:50:00+08:00,379.00,1.00,7.00,-998.00,-998.00,-998.00,0.00,-998.00,10.00,10.50,局屬無人測站,宜蘭縣,07,礁溪鄉,065
淡水,25.1667,121.4407,466900,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,新北市,06,淡水區,004
淡水觀海,25.1864,121.4004,C0AJ30,2023-05-01T04:50:00+08:00,22.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,淡水區,004
深坑,25.0045,121.6201,C0AH80,2023-05-01T04:50:00+08:00,68.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,深坑區,004
