locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
佳里,23.1750,120.1367,C0X080,2023-05-01T04:50:00+08:00,2.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,佳里區,250
來義,22.5277,120.6681,88R460,2023-05-01T04:50:00+08:00,189.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,屏東縣,20,來義鄉,331
來義,22.5291,120.6171,C0R240,2023-05-01T04:50:00+08:00,87.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,萬巒鄉,319
保力,22.0729,120.7561,C0R770,2023-05-01T04:50:00+08:00,93.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,車城鄉,349
信義,23.6914,120.8428,C0I080,2023-05-01T04:50:00+08:00,536.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,信義鄉,175
信義,25.0396,121.5564,C0AC70,2023-05-01T04:50:00+08:00,71.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺北市,01,信義區,038
信賢派出所,24.8401,121.5179,81AH90,2023-05-01T04:50:00+08:00,253.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,農委會水土保持局,新北市,06,烏來區,061
元長,23.6515,120.3069,C0K500,2023-05-01T04:50:00+08:00,12.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,元長鄉,197
光復,23.6625,121.4168,C0T960,2023-05-01T04:50:00+08:00,120.00,0.50,4.00,0.00,0.50,0.00,0.00,0.00,4.50,10.50,局屬無人測站,花蓮縣,21,光復鄉,194
內城,24.7199,121.6795,C0U900,2023-05-01T04:50:00+08:00,63.00,0.00,4.50,-998.00,-998.00,-998.00,0.00,-998.00,6.50,9.00,局屬無人測站,宜蘭縣,07,員山鄉,074
內湖,25.0812,121.5672,C0A9F0,2023-05-01T04:50:00+08:00,35.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺北市,01,內湖區,021
內湖國小,24.7439,120.8987,O1D580,2023-05-01T04:50:00+08:00,58.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,新竹市,15,香山區,069
內灣國小,24.7072,121.1750,81D650,2023-05-01T04:50:00+08:00,268.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,新竹縣,10,橫山鄉,078
內獅,22.3069,120.6350,C0R810,2023-05-01T04:50:00+08:00,25.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,獅子鄉,344
內獅國小,22.3068,120.6367,81R660,2023-05-01T04:50:00+08:00,22.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,屏東縣,20,獅子鄉,344
內茅埔(2),23.6924,120.8437,01H780,2023-05-01T04:50:00+08:00,485.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,南投縣,13,信義鄉,175
